, ???
wracke, wrack
wreast, wrest
wretchednesse, wretchedness
yeare, year
yeares, years
yee, you
yeeld, yield
yeelded, yielded
yeeldest, yieldest
yeeldeth, yieldeth
yeelding, yielding
yeere, year
yieldeth, ''
yoake, yoke
yong, young
youthfull, youthful
youthfullnes, youthfulness
youthfulnesse, youthfulness
yre, ire
yrked, irked
yrons, irons
